지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2017-07-01,25,.5,1.1
765,복내,2017-07-02,25.9,0,1.2
765,복내,2017-07-03,26.1,1,1.5
765,복내,2017-07-04,26.2,7.5,.9
765,복내,2017-07-05,25.3,17,.5
765,복내,2017-07-06,24,13.5,.4
765,복내,2017-07-07,25.6,5.5,.9
765,복내,2017-07-08,25.2,4.5,.8
765,복내,2017-07-09,26,2,.8
765,복내,2017-07-10,26.5,1,1.7
765,복내,2017-07-11,25.8,2,1.1
765,복내,2017-07-12,26.2,0,.8
765,복내,2017-07-13,27.1,0,.9
765,복내,2017-07-14,25.1,2.5,.9
765,복내,2017-07-15,25.1,1,.7
765,복내,2017-07-16,27.1,0,.9
765,복내,2017-07-17,26.1,3.5,.8
765,복내,2017-07-18,25.8,3.5,.9
765,복내,2017-07-19,27,0,1
765,복내,2017-07-20,27.7,0,.9
765,복내,2017-07-21,29,0,.7
765,복내,2017-07-22,28.4,0,.8
765,복내,2017-07-23,28.2,0,.6
765,복내,2017-07-24,28.7,0,1.2
765,복내,2017-07-25,27.6,22.5,1.2
765,복내,2017-07-26,25.5,1.5,1.6
765,복내,2017-07-27,25,0,.9
765,복내,2017-07-28,,0,
765,복내,2017-07-29,26.6,0,1
765,복내,2017-07-30,26.4,0,.9
765,복내,2017-07-31,26,26.5,.9
765,복내,2017-08-01,27.3,0,.8
765,복내,2017-08-02,26.8,0,.8
765,복내,2017-08-03,26.8,0,1.9
765,복내,2017-08-04,28,0,1.1
765,복내,2017-08-05,28.6,0,1.1
765,복내,2017-08-06,28.7,0,1
765,복내,2017-08-07,28.4,0,1.6
765,복내,2017-08-08,26.9,0,.7
765,복내,2017-08-09,26.6,1,1
765,복내,2017-08-10,27.2,0,1.6
765,복내,2017-08-11,26.5,0,1.1
765,복내,2017-08-12,26.1,.5,1
765,복내,2017-08-13,23.5,6,1.4
765,복내,2017-08-14,22.9,70,1.4
765,복내,2017-08-15,23.8,3.5,.6
765,복내,2017-08-16,25.5,.5,1.1
765,복내,2017-08-17,24.8,0,1.1
765,복내,2017-08-18,25.1,0,.8
765,복내,2017-08-19,25.3,1.5,1.4
765,복내,2017-08-20,25.2,56,1.4
765,복내,2017-08-21,25.8,45,1.1
765,복내,2017-08-22,26.5,2,.8
765,복내,2017-08-23,28.1,0,1
765,복내,2017-08-24,27.7,2,1.2
765,복내,2017-08-25,26.2,16,.9
765,복내,2017-08-26,22.5,0,1.3
765,복내,2017-08-27,21.8,0,.9
765,복내,2017-08-28,23.3,0,.9
765,복내,2017-08-29,23.3,0,2.2
765,복내,2017-08-30,20.1,0,1.7
765,복내,2017-08-31,20.8,0,1.4
765,복내,2017-09-01,21.9,0,.7
765,복내,2017-09-02,20.3,0,.7
765,복내,2017-09-03,20.6,0,1.1
765,복내,2017-09-04,21.1,0,.9
765,복내,2017-09-05,20.7,2,.4
765,복내,2017-09-06,21.7,38.5,.2
765,복내,2017-09-07,20.7,1.5,1.2
765,복내,2017-09-08,21.1,0,1.2
765,복내,2017-09-09,21.5,0,.7
765,복내,2017-09-10,22.5,0,1.5
765,복내,2017-09-11,21.2,42.5,1.3
765,복내,2017-09-12,22.1,0,1.9
765,복내,2017-09-13,19.3,0,1.4
765,복내,2017-09-14,19.7,0,1.2
765,복내,2017-09-15,18.8,0,2.1
765,복내,2017-09-16,18.9,0,1.4
765,복내,2017-09-17,21.9,0,1.5
765,복내,2017-09-18,19.4,0,1.1
765,복내,2017-09-19,20.5,0,.9
765,복내,2017-09-20,18.6,0,1
765,복내,2017-09-21,17.1,0,.8
765,복내,2017-09-22,18.8,0,1
765,복내,2017-09-23,19.3,0,.8
765,복내,2017-09-24,21.2,0,1
765,복내,2017-09-25,21.3,0,1.3
765,복내,2017-09-26,22.6,0,1.7
765,복내,2017-09-27,20.2,5.5,1.5
765,복내,2017-09-28,18.7,0,1.4
765,복내,2017-09-29,15.4,0,1.7
765,복내,2017-09-30,14.4,0,.9
765,복내,2017-10-01,15.5,62.5,1.1
765,복내,2017-10-02,21.3,14,1.1
765,복내,2017-10-03,19.2,0,1.6
765,복내,2017-10-04,18,0,1.1
765,복내,2017-10-05,16.3,7,1.3
765,복내,2017-10-06,16.6,9,.7
765,복내,2017-10-07,19.6,0,1.2
765,복내,2017-10-08,20.4,0,.9
765,복내,2017-10-09,20.2,0,.9
765,복내,2017-10-10,,0,
765,복내,2017-10-11,17.9,0,1.7
765,복내,2017-10-12,13.3,8,1.4
765,복내,2017-10-13,,0,
765,복내,2017-10-14,14.9,0,1.1
765,복내,2017-10-15,14.2,2.5,1
765,복내,2017-10-16,14.5,0,.9
765,복내,2017-10-17,14.2,0,.8
765,복내,2017-10-18,15.3,0,1.1
765,복내,2017-10-19,14.1,0,.7
765,복내,2017-10-20,14.4,0,1.2
765,복내,2017-10-21,13.9,0,1.3
765,복내,2017-10-22,13.4,0,2
765,복내,2017-10-23,12,0,.9
765,복내,2017-10-24,10.7,0,1
765,복내,2017-10-25,10.5,0,1.1
765,복내,2017-10-26,11.7,0,1
765,복내,2017-10-27,12.1,0,.8
765,복내,2017-10-28,14.1,0,1.1
765,복내,2017-10-29,12.4,0,3.9
765,복내,2017-10-30,8,0,2.8
765,복내,2017-10-31,6.6,0,.9
765,복내,2017-11-01,7.7,0,1
765,복내,2017-11-02,10.6,0,.9
765,복내,2017-11-03,11.4,0,2.3
765,복내,2017-11-04,7.4,0,2.3
765,복내,2017-11-05,5,0,.8
765,복내,2017-11-06,7.8,0,1.1
765,복내,2017-11-07,11.8,0,.5
765,복내,2017-11-08,13.7,0,2.3
765,복내,2017-11-09,8.5,0,1
765,복내,2017-11-10,11.1,0,2.4
765,복내,2017-11-11,7,0,3.1
765,복내,2017-11-12,5,0,.9
765,복내,2017-11-13,6.8,0,.8
765,복내,2017-11-14,8.1,0,1.8
765,복내,2017-11-15,3,0,1.6
765,복내,2017-11-16,2.3,0,.9
765,복내,2017-11-17,4.8,0,.6
765,복내,2017-11-18,2.9,.5,3.4
765,복내,2017-11-19,3.2,0,2.3
765,복내,2017-11-20,3.5,0,1.5
765,복내,2017-11-21,2.4,0,.9
765,복내,2017-11-22,6.4,0,1.5
765,복내,2017-11-23,1.3,2,1.8
765,복내,2017-11-24,1.6,.5,1.9
765,복내,2017-11-25,1.9,0,.8
765,복내,2017-11-26,4.1,0,1.3
765,복내,2017-11-27,2.9,0,.6
765,복내,2017-11-28,6.7,0,.8
765,복내,2017-11-29,8.2,0,2.1
765,복내,2017-11-30,3.6,0,3.4
765,복내,2017-12-01,-.2,0,2.5
765,복내,2017-12-02,-1.4,0,.7
765,복내,2017-12-03,1.9,0,.8
765,복내,2017-12-04,1.3,0,2.8
765,복내,2017-12-05,-2.4,0,2.2
765,복내,2017-12-06,-.8,0,.8
765,복내,2017-12-07,1.5,0,1.3
765,복내,2017-12-08,-.2,0,3
765,복내,2017-12-09,.6,0,.8
765,복내,2017-12-10,4.3,2,2.1
765,복내,2017-12-11,-.2,0,4.5
765,복내,2017-12-12,-3.9,0,2.9
765,복내,2017-12-13,-3.4,0,2.4
765,복내,2017-12-14,-4.1,0,.8
765,복내,2017-12-15,-.9,0,1.4
765,복내,2017-12-16,0,0,2.6
765,복내,2017-12-17,-3.7,0,1.9
765,복내,2017-12-18,-.6,0,1.1
765,복내,2017-12-19,-1.3,0,2.7
765,복내,2017-12-20,-2,0,1
765,복내,2017-12-21,-.3,0,1.5
765,복내,2017-12-22,-1.6,0,.9
765,복내,2017-12-23,2.2,0,.6
765,복내,2017-12-24,5.8,18.5,2.6
765,복내,2017-12-25,1,0,3.4
765,복내,2017-12-26,.3,0,3.3
765,복내,2017-12-27,-1.8,0,3.2
765,복내,2017-12-28,-1.4,0,1.5
765,복내,2017-12-29,3.1,0,2
765,복내,2017-12-30,2.5,0,.8
765,복내,2017-12-31,2.6,.5,3
